Paper Title,Authors,ID
Learning to Encode Position for Transformer with Continuous Dynamical Model,"Xuanqing Liu, Hsiang-Fu Yu, Inderjit Dhillon, Cho-Jui Hsieh",5906
Do RNN and LSTM have Long Memory?,"Jingyu Zhao, Feiqing Huang, Jia Lv, Yanjie Duan, Zhen Qin, Guodong Li, Guangjian Tian",5907
Training Linear Neural Networks: Non-Local Convergence and Complexity Results,Armin Eftekhari,5908
On Validation and Planning of An Optimal Decision Rule with Application in Healthcare Studies,"Hengrui Cai, Wenbin Lu, Rui Song",5909
Graph Optimal Transport for Cross-Domain Alignment,"Liqun Chen, Zhe Gan, Yu Cheng, Linjie Li, Lawrence Carin, Jingjing Liu",5910
Approximation Capabilities of Neural ODEs and Invertible Residual Networks,"Han Zhang, Xi Gao, Jacob Unterman, Tom Arodz",5911
Refined bounds for algorithm configuration: The knife-edge of dual class approximability,"Nina Balcan, Tuomas Sandholm, Ellen Vitercik",5912
Teaching with Limited Information on the Learner's Behaviour,"Ferdinando Cicalese, Francisco S de Freitas Filho, Eduardo Laber, Marco Molinaro",5913
Interpretations are Useful: Penalizing Explanations to Align Neural Networks with Prior Knowledge,"Laura Rieger, Chandan Singh, William Murdoch, Bin Yu",5914
DeltaGrad: Rapid retraining of machine learning models,"Yinjun Wu, Edgar Dobriban, Susan B Davidson",5915
The Cost-free Nature of Optimally Tuning Tikhonov Regularizers and Other Ordered Smoothers,"Pierre C Bellec, Dana Yang",5916
Approximation Guarantees of Local Search Algorithms via Localizability of Set Functions,Kaito Fujii,5917
Fine-Grained Analysis of Stability and Generalization for Stochastic Gradient Descent,"Yunwen Lei, Yiming Ying",5918
Online Dense Subgraph Discovery via Blurred-Graph Feedback,"Yuko Kuroki, Atsushi Miyauchi, Junya Honda, Masashi Sugiyama",5919
LazyIter: A Fast Algorithm for Counting Markov Equivalent DAGs and Designing Experiments,"Ali AhmadiTeshnizi, Saber Salehkaleybar, Negar Kiyavash",5920
Perceptual Generative Autoencoders,"Zijun Zhang, Ruixiang ZHANG, Zongpeng Li, Yoshua Bengio, Liam Paull",5921
Towards Understanding the Regularization of Adversarial Robustness on Neural Networks,"Yuxin Wen, Shuai Li, Kui Jia",5922
Stochastic Gradient and Langevin Processes,"Xiang Cheng, Dong Yin, Peter Bartlett, Michael Jordan",5923
ROMA: Multi-Agent Reinforcement Learning with Emergent Roles,"Tonghan Wang, Heng Dong, Victor Lesser, Chongjie Zhang",5924
Minimax Pareto Fairness: A Multi Objective Perspective,"Martin Bertran, Natalia Martinez, Guillermo Sapiro",5925
Online Pricing with Offline Data: Phase Transition and Inverse Square Law,"Jinzhi Bu, David Simchi-Levi, Yunzong Xu",5926
Explicit Gradient Learning for Black-Box Optimization,"Elad Sarafian, Mor Sinay, yoram louzoun, Noa Agmon, Sarit Kraus",5927
Optimization and Analysis of the pAp@k Metric for Recommender Systems,"Gaurush Hiranandani, Warut Vijitbenjaronk, Sanmi Koyejo, Prateek Jain",5928
When Explanations Lie: Why Many Modified BP Attributions Fail,"Leon Sixt, Maximilian Granz, Tim Landgraf",5929
Naive Exploration is Optimal for Online LQR,"Max Simchowitz, Dylan Foster",5930
Learning Structured Latent Factors from Dependent Data:A Generative Model Framework from Information-Theoretic Perspective,"Ruixiang ZHANG, Katsuhiko Ishiguro, Masanori Koyama",5931
Implicit Generative Modeling for Efficient Exploration,"Neale Ratzlaff, Qinxun Bai, Fuxin Li, Wei Xu",5932
Prediction-Guided Multi-Objective Reinforcement Learning for Continuous Robot Control,"Jie Xu, Yunsheng Tian, Pingchuan Ma, Daniela Rus, Shinjiro Sueda, Wojciech Matusik",5933
Goodness-of-Fit Tests for Inhomogeneous Random Graphs,"Soham Dan, Bhaswar B. Bhattacharya",5934
Few-shot Domain Adaptation by Causal Mechanism Transfer,"Takeshi Teshima, Issei Sato, Masashi Sugiyama",5935
Adaptive Adversarial Multi-task Representation Learning,"YUREN MAO, Weiwei Liu, Xuemin Lin",5936
Streaming Submodular Maximization under a k-Set System Constraint,"Ran Haba, Ehsan Kazemi, Moran Feldman, Amin Karbasi",5937
A Generic First-Order Algorithmic Framework for Bi-Level Programming Beyond Lower-Level Singleton,"Risheng Liu, Pan Mu, Xiaoming Yuan, Shangzhi Zeng, Jin Zhang",5938
Optimal approximation for unconstrained non-submodular minimization,"Marwa El Halabi, Stefanie Jegelka",5939
Generating Programmatic Referring Expressions via Program Synthesis,"Jiani Huang, Calvin Smith, Osbert Bastani, Rishabh Singh, Aws Albarghouthi, Mayur Naik",5940
Nearly Linear Row Sampling Algorithm for Quantile Regression,"Yi Li, Ruosong Wang, Lin Yang, Hanrui Zhang",5941
On Leveraging Pretrained GANs for Generation with Limited Data,"Miaoyun Zhao, Yulai Cong, Lawrence Carin",5942
More Data Can Expand The Generalization Gap Between Adversarially Robust and Standard Models,"Lin Chen, Yifei Min, Mingrui Zhang, Amin Karbasi",5943
